,title,area,numberOfRooms,price,town,district
0,BÜYÜKADA'DA FULL EŞYALI SEZONLUK AYLIK VEYA YILLIK KİRALIK DAİRE,160,3+1,10.000,Büyükada,Maden Mh.
1,BÜYÜKADA KİRALIK 3+1 MERKEZDE EŞYALI DAİRE,110,3+1,35.000,Büyükada,Nizam Mh.
2,Büyükada kiralık bahçeli daire,65,2+1,7.250,Büyükada,Maden Mh.
3,BÜYÜKADADA 2+1 EŞYALI KİRALIK DAİRE / 2+1 FURNISHED FLAT FOR REN,75,2+1,30.000,Büyükada,Maden Mh.
4,Heybeliada Sezonluk Kiralık Daire,100,2+1,20.000,Heybeliada,
5,"2+1Sezonluk Müstakil Ev, Ücretsiz Plaja Çok Yakın",110,2+1,50.000,Büyükada,Nizam Mh.
6,HEYBELİDA MERKEZDE YILLIK SEZONLUK EŞYALI KİRALIK DAİRE,60,2+1,7.000,Heybeliada,
7,Planet'ten Müstakil Bahçeli 2+1 Full Eşyalı Sezonluk Daire,110,2+1,45.000,Büyükada,Nizam Mh.
8,Ferah Dev Teraslı Denize Manzaralı 3+1 Düz Ayak 130 m2 Daire,130,3+1,14.000,Büyükada,Maden Mh.
9,OZAN EMLAK'TAN 3 AYLIK SEZONLUK KİRALIK DAİRE,85,2+1,45.000,Büyükada,Maden Mh.
10,HEYBELİADA MUHTESEM DENİZ MANZARALI SEZONLUK ESYALI 1+1 TERASLI,100,1+1,70.000,Heybeliada,
11,KINALIADA DA SEZONLUK KİRALIK DAİRE,100,3+1,90.000,Kınalıada,Kınalıada Mh.
12,"BÜYÜKADA NİZAM'DA, DENİZ MANZARALI GÖRÜLMEYE DEĞER DUBLEKS DAİRE",120,3+1,30.000,Büyükada,Nizam Mh.
13,Sezonluk Sahibinden Tarihi Köşkte 3+1 Bakımlı Daire,130,3+1,60.000,Büyükada,Maden Mh.
14,Planet'ten Deniz Manzaralı 3+1 Teras Katı İçi Yenilenmiş Daire,130,3+1,14.000,Büyükada,Maden Mh.
15,"Kumsal da manzaralı sezonlu yazlık daire,",100,2+1,7.000,Büyükada,Maden Mh.
16,BÜYÜKADA NİZAM MAHALLESİ'NDE YEŞİLLİKLER İÇİNDE VERANDALI YAZLIK,110,2+1,19.000,Büyükada,Nizam Mh.
17,Planet'ten Deniz Manzaralı İçi Sıfır 3+1 Kiralık Daire,125,3+1,13.000,Büyükada,Maden Mh.
18,Planet'ten Orman Manzaralı Müstakil Bahçeli İçi Sıfır Bahçe Katı,160,3+1,45.000,Büyükada,Nizam Mh.
19,kınalıada da köşk konforu :),130,3+1,20.000,Kınalıada,Kınalıada Mh.
20,HEYBELİADA'DA GREEN BEACH'E ÇOK YAKIN SAHİLDE KEYİFLİ BAHÇE KATI,165,3+1,45.000,Heybeliada,
21,KINALI ADADA SEZONLUK YADA YILLIK KİRALIK DAİRE,60,1+1,49.000,Kınalıada,Kınalıada Mh.
22,ALBAYRAKTAN HEYBELİADA SAHİLDE 3+1 EŞYALI DENİZ MANZARALI KİRALK,100,3+1,15.000,Heybeliada,
23,DBA HEYBELİADA 1+1 70m2 EŞYALI KİRALIK BAHÇE KATI,70,1+1,7.000,Heybeliada,
24,"Heybeliada, iskeleye 5 dakika yapılı ev SAHİBİNDEN",65,1.5+1,15.000,Heybeliada,
25,ALBAYRAKTAN HEYBELİADA SAHİLDE DENİZ MANZARALI TERASLI EŞYALI,80,1+1,18.000,Heybeliada,
26,"BAHÇE KATI SEZONLUK, FULL EŞYALI, DENİZ MANZARALI",110,2+1,90.000,Büyükada,Maden Mh.
27,Büyük adada yazlık daire,130,3+1,58.000,Büyükada,Nizam Mh.
28,Heybeliadada site içerisinde sezonluk daire 30000 tl aylık,130,3+1,30.000,Heybeliada,
29,büyükada maden mah.sezonluk aile binası full eşyalı temiz 1+1,55,1+1,35.500,Büyükada,Maden Mh.
30,Büyükada'da full kapanmaz deniz manzaralı havuzlu lüks daire,90,3+1,10.000,Büyükada,Maden Mh.
31,"HEYBELİADADA ÖNÜ PLAJ,BAHÇE KATI,SEZONLUK EŞYALI KİRALIK DAİRE",125,3+1,50.000,Heybeliada,
32,SAHİBİNDEN Deniz manzaralı sezonluk kiralık daire,80,2+1,50.000,Heybeliada,
33,BÜYÜKADA'DA 2+1 SEZONLUK KİRALIK DAİRE,100,2+1,68.500,Büyükada,Maden Mh.
34,müstakil bahçeli daire,60,1+1,7.500,Büyükada,Nizam Mh.
35,HEYBELİADA'DA EŞYALI KİRALIK DAİRE,85,1+1,6.000,Heybeliada,
36,Kınalıada'da Eşyalı Kiralık Sıfır Daire,90,2+1,24.000,Kınalıada,Kınalıada Mh.
37,BÚYÜKADA 'DA SEZONLUK KİRALİK HARİKA KONUMLU BAHÇELİ DAİRE,90,2+1,20.000,Büyükada,Maden Mh.
